count|name|units|Variable name in CDS|shortName|paramId|an|fc
33|Volumetric soil water layer 41|m**3 m**-3|volumetric_soil_water_layer_4|swvl4|42|x|x
34|Convective available potential energy|J kg**-1|convective_available_potential_energy|cape|59|x|x
35|Leaf area index, low vegetation|m**2 m**-2|leaf_area_index_low_vegetation|lai_lv|66|x|x
36|Leaf area index, high vegetation|m**2 m**-2|leaf_area_index_high_vegetation|lai_hv|67|x|x
37|Neutral wind at 10 m u-component|m s**-1|10m_u_component_of_neutral_wind|u10n|228131|x|x
38|Neutral wind at 10 m v-component|m s**-1|10m_v_component_of_neutral_wind|v10n|228132|x|x
39|Surface pressure|Pa|surface_pressure|sp|134|x|x
40|Soil temperature level 11|K|soil_temperature_level_1|stl1|139|x|x
41|Snow depth|m of water equivalent|snow_depth|sd|141|x|x
42|Charnock|~|charnock|chnk|148|x|x
43|Mean sea level pressure|Pa|mean_sea_level_pressure|msl|151|x|x
44|Boundary layer height|m|boundary_layer_height|blh|159|x|x
45|Total cloud cover|(0 - 1)|total_cloud_cover|tcc|164|x|x
46|10 metre U wind component|m s**-1|10m_u_component_of_wind|10u|165|x|x
47|10 metre V wind component|m s**-1|10m_v_component_of_wind|10v|166|x|x
48|2 metre temperature|K|2m_temperature|2t|167|x|x
49|2 metre dewpoint temperature|K|2m_dewpoint_temperature|2d|168|x|x
50|Soil temperature level 21|K|soil_temperature_level_2|stl2|170|x|x
51|Soil temperature level 31|K|soil_temperature_level_3|stl3|183|x|x
52|Low cloud cover|(0 - 1)|low_cloud_cover|lcc|186|x|x
53|Medium cloud cover|(0 - 1)|medium_cloud_cover|mcc|187|x|x
54|High cloud cover|(0 - 1)|high_cloud_cover|hcc|188|x|x
55|Skin reservoir content|m of water equivalent|skin_reservoir_content|src|198|x|x
56|Instantaneous large-scale surface precipitation fraction|(0 - 1)|instantaneous_large_scale_surface_precipitation_fraction|ilspf|228217||x
57|Convective rain rate|kg m**-2 s**-1|convective_rain_rate|crr|228218||x
58|Large scale rain rate|kg m**-2 s**-1|large_scale_rain_rate|lsrr|228219||x
59|Convective snowfall rate water equivalent|kg m**-2 s**-1|convective_snowfall_rate_water_equivalent|csfr|228220||x
60|Large scale snowfall rate water equivalent|kg m**-2 s**-1|large_scale_snowfall_rate_water_equivalent|lssfr|228221||x
61|Instantaneous eastward turbulent surface stress|N m**-2|instantaneous_eastward_turbulent_surface_stress|iews|229|x|x
62|Instantaneous northward turbulent surface stress|N m**-2|instantaneous_northward_turbulent_surface_stress|inss|230|x|x
63|Instantaneous surface sensible heat flux|W m**-2|instantaneous_surface_sensible_heat_flux|ishf|231|x|x
64|Instantaneous moisture flux|kg m**-2 s**-1|instantaneous_moisture_flux|ie|232|x|x
65|Skin temperature|K|skin_temperature|skt|235|x|x
66|Soil temperature level 41|K|soil_temperature_level_4|stl4|236|x|x
67|Temperature of snow layer|K|temperature_of_snow_layer|tsn|238|x|x
68|Forecast albedo|(0 - 1)|forecast_albedo|fal|243|x|x
69|Forecast surface roughness|m|forecast_surface_roughness|fsr|244|x|x
70|Forecast logarithm of surface roughness for heat|~|forecast_logarithm_of_surface_roughness_for_heat|flsr|245|x|x
71|100 metre U wind component|m s**-1|100m_u_component_of_wind|100u|228246|x|x
72|100 metre V wind component|m s**-1|100m_v_component_of_wind|100v|228247|x|x
73|Precipitation type|code table (4.201)|precipitation_type|ptype|260015*||x
74|K index|K|k_index|kx|260121*||x
75|Total totals index|K|total_totals_index|totalx|260123*||x
